Name,Description,Years lived,Name,Description,Years lived,Name,Description,Years lived
Mike Ditka,"American football player, coach, an",1939 -,Ted Boy Marino,Italian-Brazilian wrestler and actor,73,Lee Harvey Oswald,American assassin of John F. Kennedy,24
Cynthia Weil,America,1940 -,Timothy Bell,"Baron Bell, Englis",1941 -,Martha Burk,American psychologist an,1941 -
Christine Charbonneau,Canadian singer-songwriter,71,Birthe Rønn Hornbech,"Danish police officer and politician, Danish Minister for Ecclesiastica",1943 -,Yıldo,"Turkish footballer, volleyball player, actor an",1945 -
Chris Shays,America,1945 -,Norio Wakamoto,Japanese voic,1945 -,James Robert Baker,American author and screenwriter,51
Dafydd Elis-Thomas,Welsh academic an,1946 -,Howard Shore,"Canadian composer, conductor, an",1946 -,Paul Chuckle,"English comedian, actor, an",1947 -
Joe Morton,American actor an,1947 -,Laura Nyro,American singer-songwriter and pianist,50,Hans Köchler,"Austrian philosopher, author, an",1948 -
Joe Egan,Scottish singer-songwriter (Stealer,1949 -,George Hendrick,American baseball player an,1949 -,Gary Richrath,"American guitarist, songwriter, and producer (REO Speedwagon)",66
Wendy Wasserstein,American playwright and author,56,Sheila White,English actress an,1950 -,Mike Antonovich,American ice hockey player an,1951 -
Terry McMillan,American author an,1951 -,David Normington,English civil servant an,1951 -,Nic Potter,English bass player and songwriter (Van der Graaf Generator and The Misunderstood),62
Paul Geroski,American-English economist and academic,53,Chuck Lorre,"American director, producer, an",1952 -,Patrick Morrow,Canadian mountaineer an,1952 -
Allen Ripley,American baseball player,62,Jerry Royster,"American baseball player, coach, an",1952 -,Loes Luca,Dutch actress an,1953 -
Arliss Howard,"American actor, director, producer, an",1954 -,Jean-Pierre Hautier,Belgian journalist and television host,57,Vanessa Briscoe Hay,American singer-songwriter and keyboard player (Pylon an,1955 -
Stu Mead,American painter an,1955 -,David Twohy,"American director, producer, an",1955 -,Rita Verdonk,"Dutch journalist and politician, Dutch Minister o",1955 -
Mark Welland,English physicist an,1955 -,Craig Bartlett,"American animator, producer, screenwriter, and voic",1956 -,Martina Navratilova,Czech-American tennis player an,1956 -
Jim Talent,American lawyer an,1956 -,Jon Lindstrom,"American actor, director, producer, an",1957 -,Catherine Ringer,"French singer-songwriter, dancer, and actress (Les Rit",1957 -
Thomas Hearns,America,1958 -,Megumi Ishii,Japanese actress an,1958 -,Kjell Samuelsson,Swedish ice hockey player an,1958 -
Tatyana Kolpakova,Kyrgyzstani long jumper an,1959 -,Milcho Manchevski,Macedonian-American director an,1959 -,John Nord,America,1959 -
Erin Moran,American actress an,1960 -,Jean-Claude Van Damme,"Belgian martial artist, actor, and producer, an",1960 -,Wynton Marsalis,"American trumpet player, composer, an",1961 -
Gladstone Small,Barbadian-Englis,1961 -,Min Ko Naing,Burmes,1962 -,Vincent Spano,"American actor, director, an",1962 -
Charles Stross,"English journalist, author, an",1964 -,Curtis Stigers,American singer-songwriter an,1965 -,Dave Price,American journalist and game sho,1966 -
Angela Visser,"Dutch model and actress, Miss Univers",1966 -,Eric Stuart,"American singer-songwriter, guitarist, and voic",1967 -,Lisa Chappell,New Zealand actress an,1968 -
Stuart Law,Australian cricketer an,1968 -,Michael Stich,German tennis player an,1968 -,Volker Neumüller,German talen,1969 -
Doug Mirabelli,American baseball player an,1970 -,Michihiro Morita,Japanese G,1970 -,Mike Starink,Dutch television host an,1970 -
Koshalendraprasad Pande,India,1971 -,Mika Ninagawa,Japanese photographer an,1972 -,Alex Tagliani,Canadian race ca,1972 -
James Foley,American photographer and journalist,41,Michalis Kapsis,Gree,1973 -,Rachel Nichols,American journalist an,1973 -
Sarah Winckless,Englis,1973 -,Noboru Kaneko,Japanes,1974 -,Robbie Savage,Welsh footballer an,1974 -
Baby Bash,America,1975 -,Alex Cora,Puerto Rican-American baseball player an,1975 -,Zhou Xun,Chinese actress an,1976 -
Flavia Colgan,Brazilian-America,1977 -,Kunal Kapoor,India,1977 -,Ryan Nelsen,New Zealand-American soccer player an,1977 -
Jyothika,India,1978 -,Mike Tindall,English rugb,1978 -,Kenji Wu,Taiwanese singer-songwriter an,1978 -
Hikaru Kawamura,Japanes,1979 -,'Ana Po'uhila,"Tongan shot putter, hammer, and discu",1979 -,Josh Gracin,American soldier an,1980 -
Birsen Yavuz,Turkish sprinter an,1980 -,Tina Hergold,Slovenian tenni,1981 -,Greg Warren,American footbal,1981 -
Thierry Amiel,Frenc,1982 -,Michael Dingsdag,Dutc,1982 -,Mark Sampson,Welsh footballer an,1982 -
Robert Harting,German discu,1984 -,Freida Pinto,Indian actress an,1984 -,Esperanza Spalding,American singer-songwriter an,1984 -
Yoenis Céspedes,Cuban basebal,1985 -,Andrew Garcia,American singer-songwriter an,1985 -,Iori Nomizu,Japanese voice actress an,1985 -
Zac Efron,American actor an,1987 -,Freja Beha Erichsen,Danis,1987 -,Joy Lauren,America,1989 -
Bristol Palin,America,1990 -,Carly Schroeder,America,1990 -,Roly Bonevacia,Dutc,1991 -
Prince Hisaaki of Japan,,52,Marsilio Ficino,Italian astrologer and philosopher,66,George Abbot,English archbishop and academic,71
Thomas Browne,English physician and author,77,James Butler,"1st Duke of Ormonde, English-Irish general, academic, and politician, Lord Lieutenant of Ireland",78,Adolphus Frederick II,Duke of Mecklenburg-Strelitz,46
William Cheselden,English surgeon and anatomist,64,Helen and Judith of Szony,Hungarian conjoined twins,22,Victor-François,"2nd duc de Broglie, French general and politician, French Secretary of State for War",86
Joseph de Guignes,French orientalist and sinologist,79,Leigh Hunt,English poet and critic,75,John McLoughlin,Canadian-American fur trader,73
Cassius Marcellus Clay,"American journalist, lawyer, and diplomat, United States Ambassador to Russia",93,Theodoros Vryzakis,Greek painter,64,Ralph Tollemache,English priest,69
Empress Myeongseong of Korea,,44,George Albert Boulenger,Belgian-English zoologist and botanist,79,Auguste Lumière,French director and producer,92
Jaap Eden,Dutch speed skater and cyclist,52,Bart King,American cricketer,92,Mordecai Brown,"American baseball player, coach, and manager",69
Umberto Boccioni,Italian painter and sculptor,34,Charles E. Merrill,"American banker and philanthropist, co-founded Merrill Lynch Wealth Management",71,Frank Durbin,American soldier,104
Bob O'Farrell,American baseball player and manager,92,Salimuzzaman Siddiqui,Pakistani chemist and scholar,97,Hal B. Wallis,American film producer,88
Erna Berger,German soprano and actress,90,Bill Ponsford,Australian cricketer and baseball player,91,Roy Worters,Canadian ice hockey player,57
Tor Johnson,Swedish wrestler and actor,68,Roger Wolfe Kahn,American bandleader and composer,55,Geirr Tveitt,Norwegian pianist and composer,73
Subrahmanyan Chandrasekhar,"Indian-American astrophysicist, astronomer, and mathematician, Nobel Prize laureate",85,Shunkichi Hamada,Japanese field hockey player,99,Paul Robert,French lexicographer and publisher,70
Juanita Moore,American actress,100,Farid al-Atrash,"Syrian-Egyptian singer-songwriter, oud player, and actor",59,Jean Dausset,"French-Spanish immunologist and academic, Nobel Prize laureate",93
Minoru Yasui,"American soldier, lawyer, and activist",70,William Joel Blass,"American soldier, lawyer, and politician",95,Walter Munk,"Austrian-American oceanographer, author, an",1917 -
Russell Kirk,American theorist and author,76,Robert Schwarz Strauss,"American lawyer and diplomat, United States Ambassador to Russia",96,Pandurang Shastri Athavale,Indian philosopher and educator,83
Harry Alan Towers,English-Canadian screenwriter and producer,89,George Nader,American actor,81,Jack Anderson,American journalist and author,83
Baby Dalupan,Filipino basketball player an,1923 -,Bernard Hepton,English actor an,1925 -,Czesław Kiszczak,"Polish general and politician, 11th Prime Minister of the People's Republic of Poland",90
Arne Bendiksen,Norwegian singer-songwriter and producer,83,Joel Feinberg,American philosopher and academic,78,Vladimir Shlapentokh,"Ukrainian-American sociologist, historian, political scientist, and academic",89
Pierre Alechinsky,Belgian painter an,1927 -,Stephen Keynes,Englis,1927 -,Lou Scheimer,"American animator, producer, and voice actor, co-founded the Filmation Company",85
John Evans,"Baron Evans of Parkside, English union leader an",1930 -,Mavis Nicholson,Welsh-Englis,1930 -,Ed Emberley,American author an,1931 -
John le Carré,English intelligence officer an,1931 -,Atsushi Miyagi,Japanese tenni,1931 -,Robert Reed,"American actor, singer, and director",60
Anthony Skingsley,English ai,1933 -,Yakubu Gowon,"Nigerian general and politician, 3rd Head of State o",1934 -,Don Ward,Canadian-American ice hockey player,79
Tony Lo Bianco,American actor an,1936 -,Sylvia Browne,American psychic and author,77,Marilyn Bell,Canadia,1937 -
Terence Thomas,"Baron Thomas of Macclesfield, English banker an",1937 -,Bill Morris,"Baron Morris of Handsworth, Jamaican-English union leader an",1938 -,David Clark,"Baron Clark of Windermere, Scottish academic and politician, Minister for the Cabine",1939 -
Michael Gambon,Irish-English actor an,1940 -,Rosny Smarth,"Haitian lawyer and politician, 8th Prime Minister o",1940 -,Simon Ward,English actor,71
Robin Holloway,English composer an,1943 -,Takis Ikonomopoulos,Greek footballer an,1943 -,L. E. Modesitt,"Jr., American author an",1943 -
Peter Tosh,Jamaican singer-songwriter and guitarist (Bob Marley and the Wailers),43,Divine,"American drag queen performer, actor, and singer",43,Angus Deaton,"Scottish-American economist and academic, Nobel Priz",1945 -
Gloria Jones,American singer-songwriter (T,1945 -,Carol Kidd,Scottis,1945 -,John Lithgow,American actor an,1945 -
Martin Welz,South Africa,1945 -,Bob Holland,Australian cricketer an,1946 -,Philip Pullman,English author an,1946 -
James Howard Kunstler,American author an,1948 -,Dave Mallow,American voice actor an,1948 -,Patrick Simmons,American singer-songwriter and guitarist (The Doobi,1948 -
Jamie McGrigor,English-Scottis,1949 -,Yeslam bin Ladin,Saudi Arabian-Swis,1950 -,Demetrios Christodoulou,Greek mathematician an,1951 -
Verónica Castro,Mexican actress an,1952 -,Lionel Hollins,American basketball player an,1953 -,Sam Allardyce,English footballer an,1954 -
Joe Bryant,American basketball player an,1954 -,Ken Stott,Scottis,1954 -,Dan Gutman,America,1955 -
Steve Doocy,American journalist an,1956 -,Elena Garanina,Soviet ice dancer an,1956 -,Grover Norquist,"American activist, founded Americans for Ta",1956 -
Carlo Urbani,Italian physician,37,Bruce Weber,American basketball player an,1956 -,Dorinda Clark-Cole,American singer-songwriter and pianist (The Clar,1957 -
Karl Wallinger,"Welsh singer-songwriter, keyboard player, and producer (World Party and Th",1957 -,Lou Briel,"Puerto Rican singer-songwriter, pianist, producer, an",1958 -,Carolyn Browne,"English diplomat, British Ambassador t",1958 -
Michael Steele,"American journalist and politician, 7th Lieutenant Governor o",1958 -,Nir Barkat,"Israeli businessman and politician, Mayor o",1959 -,Martin Kusch,German philosopher an,1959 -
Takeshi Koshida,Japanes,1960 -,Susan Straight,American author an,1960 -,Jeremy Swift,Englis,1960 -
Sunny Deol,Indian actor an,1961 -,Cliff Lyons,Australian rugby player an,1961 -,Tracy Chevalier,American-Englis,1962 -
Evander Holyfield,American boxer an,1962 -,Svetlana Zainetdinova,Soviet-Estonian chess player an,1962 -,Sinitta,American-English singer-songwriter an,1963 -
Prince Laurent o,,1963 -,Jorge Luis González,Cuban-America,1964 -,Brad Daugherty,American basketball player an,1965 -
Jon Favreau,"American actor, director, an",1966 -,Dimitris Lyacos,Greek poet an,1966 -,Amy Carter,American illustrator an,1967 -
Yoko Shimomura,Japanese pianist and composer (Alp,1967 -,Rodney Carrington,"American comedian, actor, an",1968 -,John Edward,American psychic an,1969 -
DJ Sammy,Spanish DJ an,1969 -,Erwin Sánchez,Bolivian footballer an,1969 -,Caroline Catz,Englis,1970 -
Chris Kattan,"American actor, producer, an",1970 -,Pras,American rapper and produce,1972 -,Keith Foulke,American basebal,1972 -
Okan Buruk,Turkish footballer an,1973 -,Joaquin Gage,Canadian ice hocke,1973 -,Shian-Li Tsang,Japanes,1975 -
Omar Gooding,American actor an,1976 -,Jostein Gulbrandsen,Norwegian guitarist an,1976 -,Desmond Harrington,America,1976 -
Hiroshi Sakai,Japanes,1976 -,Dan Smith,Canadian ice hocke,1976 -,Michael Young,American basebal,1976 -
Louis-José Houde,Canadian comedian an,1977 -,Jason Reitman,"Canadian-American director, producer, an",1977 -,Raúl Tamudo,Spanis,1977 -
Enrique Bernoldi,Brazilian race ca,1978 -,Zakhar Dubensky,Russia,1978 -,Henri Sorvali,Finnish guitarist and keyboard player (Moonsorrow an,1978 -
Brian Robertson,American trombonist (Suburba,1979 -,Sachiko Sugiyama,Japanese volleybal,1979 -,Hiromi Yanagihara,Japanese singer and actress (Country Musume),20
Rajai Davis,American basebal,1980 -,Benjamin Salisbury,America,1980 -,Christian Bautista,Filipino singer an,1981 -
Atom Araullo,Filipin,1982 -,Gillian Jacobs,American actress an,1982 -,Louis Oosthuizen,South Africa,1982 -
Daan van Bunge,Dutc,1982 -,Rebecca Ferguson,Swedis,1983 -,Andy Lonergan,Englis,1983 -
Julia Selepen,Lithuanian figur,1983 -,Elaine Bradley,American drummer and songwriter (Neo,1984 -,Kaio de Almeida,Brazilia,1984 -
Erina Yamaguchi,Japanes,1985 -,Tsunenori Aoki,Japanes,1987 -,Fumino Kimura,Japanes,1987 -
Miroslav Stoch,Slovakia,1989 -,Rakuto Tochihara,Japanes,1989 -,Janine Tugonon,Filipino model and televisio,1989 -
Janet Leon,Swedish singer-songwriter and dance,1990 -,Jessica Meuse,America,1990 -,Colton Dixon,American singer-songwriter an,1991 -
Abby Sunderland,America,1993 -,Agnė Sereikaitė,Lithuanian spee,1994 -,Kenta Suga,Japanes,1994 -
Claude,Duke of Guise,54,Thomas Bartholin,"Danish physician, mathematician, and theologian",64,Aelbert Cuyp,Dutch painter,71
Robert Bertie,"1st Duke of Ancaster and Kesteven, English politician, Chancellor of the Duchy of Lancaster",63,Stanisław I of Poland,,89,Charlotte Aglaé d'Orléans,"French wife of Francesco III d'Este, Duke of Modena",61
Gottfried Achenwall,"German historian, economist, and jurist",53,Isabelle de Charrière,Dutch author and poet,65,Chauncey Goodrich,"American lawyer and politician, 8th Lieutenant Governor of Connecticut",56
Henry John Temple,"3rd Viscount Palmerston, English academic and politician, Prime Minister of the United Kingdom",81,George Ormerod,English historian and author,88,Patrick Matthew. Scottish farmer and biologist,,84
Karl Andree,German geographer and journalist,67,Báb,"Iranian religious leader, founded Bábism",31,Karol Mikuli,"Ukrainian-Polish pianist, composer, and conductor",78
Constantin Lipsius,German architect and theorist,62,Frits Thaulow,Norwegian painter,59,Arthur Rimbaud,French soldier and poet,37
John Dewey,American psychologist and philosopher,93,James F. Hinkle,"American banker and politician, 6th Governor of New Mexico",87,Nellie McClung,Canadian politician and activist,78
Margaret Dumont,American actress,83,Bela Lugosi,Hungarian-American actor,74,Jelly Roll Morton,"American pianist, composer, and bandleader (Red Hot Peppers and New Orleans Rhythm Kings)",56
Johann Gruber,Austrian priest and saint,55,Aleksander Maaker,Estonian bagpipe player,78,Samuel Flagg Bemis,American historian and author,82
Charley Chase,"American actor, director, and screenwriter",47,Olive Thomas,American model and actress,26,Rex Ingram,American actor,74
Wayne Morse,"American lieutenant, lawyer, and politician",74,Adelaide Hall,"American-English singer, actress, and dancer",92,Tommy Douglas,"Scottish-Canadian minister and politician, 7th Premier of Saskatchewan",82
Anna Neagle,"English actress, singer, and producer",82,Arlene Francis,American actress and television personality,94,Carla Laemmle,American actress and photographer,105
Chen Liting,Chinese director and playwright,103,Hopper Read,English cricketer,90,Bob Sheppard,American sportscaster,100
Grandpa Jones,American singer-songwriter and banjo player,85,J. Michael Hagopian,Turkish-American director and producer,97,Fayard Nicholas,"American actor, dancer, and choreographer",92
Jean-Pierre Melville,"French actor, director, producer, and screenwriter",56,Martin Drewes,German soldier and pilot,95,Robert Lochner,American-German soldier and journalist,85
Nick Cardy,American illustrator,93,Fanny de Sivers,Estonian-French linguist and academic,91,Siddhartha Shankar Ray,"Indian lawyer and politician, Chief Minister of West Bengal",90
Hans Warren,Dutch poet and author,80,John Anderson,American actor,70,Franco Ventriglia,American opera singer,90
Robert Peters,"American poet, playwright, and critic",90,Art Buchwald,American soldier and journalist,82,Tom Dowd,American record producer and engineer,77
Edward Douglas-Scott-Montagu,"3rd Baron Montagu of Beaulieu, English lieutenant and politician, founded the National Motor Museum",89,Joyce Brothers,"American psychologist, author, and actress",86,Gunturu Seshendra Sarma,Indian poet and critic,80
Richard Caliguiri,"American lawyer and politician, 54th Mayor of Pittsburgh",57,Mickey Mantle,American baseball player and sportscaster,64,Ken Morrison,Englis,1931 -
William Christopher,American actor an,1932 -,Rokurō Naya,Japanese voice actor,82,Barrie Chase,American actress an,1933 -
Eddie Harris,American saxophonist,62,Empress Michiko o,,1934 -,Timothy West,Englis,1934 -
Bobby Seale,"American activist, co-founded the Black Panthe",1936 -,Cancio Garcia,Filipino lawyer and jurist,76,Wanda Jackson,American singer-songwriter an,1937 -
Emma Tennant,Englis,1937 -,Emidio Greco,Italian director and screenwriter,74,Iain Macmillan,Scottish photographer and educator,68
Kathy Kirby,English singer,71,Robert Pinsky,American poet an,1940 -,Earl Hindman,American actor,61
Bart Zoet,Dutch cyclist,50,Dunja Vejzović,Croatian soprano an,1943 -,Nalin de Silva,Sri Lankan physicist an,1944 -
Diana Gittins,"American-English sociologist, author, an",1946 -,Lewis Grizzard,American comedian and author,48,Elfriede Jelinek,"Austrian author and playwright, Nobel Priz",1946 -
Lucien Van Impe,Belgia,1946 -,Chris Woodhead,English civil servant and academic,69,Sandra Dickinson,American-English actress an,1948 -
Melih Gökçek,"Turkish journalist and politician, Mayor o",1948 -,Gina Pareño,Filipin,1949 -,Tom Petty,"American singer-songwriter, guitarist, and producer (Tom Petty and the Heartbreakers, Mudcrutch, and Travelin",1950 -
Al Greenwood,American keyboard playe,1951 -,Patrick Hall,English lawyer an,1951 -,Ken Ham,Australian-America,1951 -
Claudio Ranieri,Italian footballer an,1951 -,Melanie Mayron,American actress an,1952 -,Derek Ridgers,English photographer and ar,1952 -
Richard McWilliam,"American businessman and philanthropist, co-founded the Upper Deck Company",60,Bill Nunn,America,1953 -,Steve Orich,American composer an,1954 -
David Profumo,English author an,1955 -,Aaron Pryor,America,1955 -,Robert ten Brink,Dutch television host an,1955 -
Martin Taylor,Englis,1956 -,Jane Bonham-Carter,"Baroness Bonham-Carter of Yarnbury, Englis",1957 -,Chris Cowdrey,English cricketer an,1957 -
Hilda Solis,"American academic and politician, 25th United States Secretary o",1957 -,Valerie Faris,American director an,1958 -,Lynn Flewelling,American author an,1958 -
Mark King,English singer-songwriter and bass player (Level 42 an,1958 -,Dave Krieg,American footbal,1958 -,Viggo Mortensen,American actor an,1958 -
Eric Scott,America,1958 -,Mark Little,"Australian comedian, actor, an",1959 -,Ole Hamre,"Norwegian drummer, composer, and produce",1959 -
Konstantin Aseev,Russian chess player and trainer,44,Lepa Brena,Bosnian singer an,1960 -,Dave Finlay,Irish-American wrestler an,1960 -
Kate Mosse,English author an,1961 -,Ian Rush,Welsh footballer an,1961 -,Les Stroud,"Canadian director, producer, and harmonic",1961 -
David M. Evans,American director an,1962 -,Dave Wong,Hong Kong-Taiwanese singer-songwriter an,1962 -,Julie Payette,Canadian engineer an,1963 -
Stan Valckx,Dutch footballer an,1963 -,Kamala Harris,"American lawyer and politician, 32nd Attorney General o",1964 -,Tomoko Yamaguchi,Japanese actress an,1964 -
Mikhail Shtalenkov,Russian ice hocke,1965 -,William Zabka,American actor an,1965 -,Fred Coury,"American drummer (Cinderella, London, an",1966 -
Stefan Raab,"German comedian, singer-songwriter, producer, and televisio",1966 -,Patrick Volkerding,"American computer scientist and engineer, founde",1966 -,Monica Ali,Bangladeshi-Englis,1967 -
Luigi Lo Cascio,Italia,1967 -,Luck Mervil,Haitian-Canadian singer-songwriter an,1967 -,Kerrod Walters,Australian rugb,1967 -
Susan Tully,"English actress, director, an",1968 -,Laurie Daley,Australian rugby player an,1969 -,Juan González,Puerto Rican basebal,1969 -
Sander Boschker,Dutc,1970 -,Chavo Guerrero Jr.,America,1970 -,Neil Heywood,English-Chinese businessman,41
Michelle Malkin,American blogger an,1970 -,Snoop Dogg,"American rapper, producer, and actor (Tha Eastsidaz an",1971 -,Eddie Jones,American basketbal,1971 -
Dannii Minogue,Australian singer-songwriter an,1971 -,Pie Geelen,Dutc,1972 -,Will Greenwood,English rugby player an,1972 -
Bashar Rahal,Emirati-American actor an,1974 -,Sevinç Erbulak,Turkis,1975 -,Nikolaos Bacharidis,Gree,1976 -
Nicola Legrottaglie,Italian footballer an,1976 -,Matt Jansen,English footballer an,1977 -,Leila Josefowicz,Canadian-America,1977 -
Samuel Witwer,American actor an,1977 -,Virender Sehwag,India,1978 -,Paul Wilson,Scottish bass player and songwriter (Snow Patrol and Terr,1978 -
Paul Ifill,Englis,1979 -,John Krasinski,"American actor, director, an",1979 -,Paul O'Connell,Irish rugb,1979 -
Nargis Fakhri,American model an,1979 -,Gary Jarman,English singer-songwriter and bass player (Th,1980 -,Niall Matter,Canadia,1980 -
Dimitris Papadopoulos,Gree,1981 -,Francisco Javier Rodríguez,Mexica,1981 -,Kristian Bak Nielsen,Danis,1982 -
Katie Featherston,America,1982 -,Flavio Cipolla,Italian tenni,1983 -,Luis Saritama,Ecuadoria,1983 -
Takayuki Yamada,Japanese actor an,1983 -,Mitch Lucker,American singer-songwriter (Suicide Silence and Commissioner),28,Florent Sinama Pongolle,Frenc,1984 -
Jennifer Freeman,America,1985 -,Dominic McGuire,American basketbal,1985 -,Alphonso Smith,American footbal,1985 -
Wanlop Saechio,Tha,1986 -,Elyse Taylor,Australia,1986 -,Raphael Hackl,German rugb,1987 -
Ma Long,Chinese table tenni,1988 -,Risa Niigaki,"Japanese singer and actress (Morning Musume, Tanpopo, Sakuragumi, and Athena",1988 -,Candice Swanepoel,South Africa,1988 -
Colin Wilson,Canadian-American ice hocke,1989 -,Mattia De Sciglio,Italia,1992 -,John Egan,Iris,1992 -
Liis Lemsalu,Estonia,1992 -,Ksenia Semyonova,Russia,1992 -,Ferhat Yazgan,Turkis,1992 -
Corey Oates,Australian rugb,1994 -,Zhenwei Wang,Chinese actor and martia,1995 -,Hongwu Emperor of China,,70
Louis I,Cardinal of Guise,51,Domenichino,Italian painter,60,Jean Bart,French admiral,52
Nicolaus I Bernoulli,Swiss mathematician and theorist,72,James Steuart,Scottish economist and author,68,Franz Moritz von Lacy,Austrian field marshal,76
Herman Willem Daendels,"Dutch general, lawyer, and politician, 36th Governor-General of the Dutch East Indies",56,Samuel Taylor Coleridge,"English poet, philosopher, and critic",62,Giuseppe Baini,"Italian priest, composer, and critic",69
Filippo Colini,Italian operatic baritone,52,Sims Reeves,English tenor and actor,79,Alfred Nobel,"Swedish chemist and engineer, invented dynamite and founded the Nobel Prize",63
Giuseppe Giacosa,Italian poet and playwright,59,George Ulyett,English cricketer and footballer,47,Oswald Avery,Canadian-American physician and microbiologist,78
Eugene Burton Ely,American soldier and pilot,25,Krishna Singh,"Indian lawyer and politician, 1st Chief Minister of Bihar",74,Edogawa Ranpo,Japanese author and critic,71
Edna Purviance,American actress,63,Eduard Pütsep,Estonian wrestler and actor,62,Nikos Engonopoulos,Greek painter and poet,78
Mary Blair,American illustrator and animator,67,Don Byas,American saxophonist and educator,60,Alfredo Pián,Argentinian race car driver,78
Martin Gardner,American mathematician and author,96,Dizzy Gillespie,"American trumpet player, composer, and bandleader",76,Milton Himmelfarb,American sociologist and author,88
Malcolm Arnold,English composer,85,Bruce Beeby,Australian-English actor,92,Robert Clothier,Canadian actor,78
Ingrid van Houten-Groeneveld,Dutch astronomer and academic,94,Liliane Bettencourt,French businesswoman an,1922 -,Samuel Khachikian,"Iranian director, screenwriter, and author",78
Joyce Randolph,America,1924 -,Julie Wilson,American actress and singer,91,Virginia Zeani,Romanian soprano an,1925 -
Fritz Wintersteller,Austria,1927 -,Howard Zieff,American director and photographer,82,Whitey Ford,American baseball player an,1928 -
Vern Mikkelsen,American basketball player and coach,85,Pierre Bellemare,French radio and televisio,1929 -,Fritz Hollaus,Austrian footballer,65
Ivan Silayev,"Russian engineer and politician, 19th Prime Minister o",1930 -,Shammi Kapoor,Indian actor and director,80,Jim Parks junior,English cricketer an,1931 -
Hugh Thomas,English historian an,1931 -,Pál Csernai,Hungarian footballer and manager,81,Maureen Duffy,"English author, poet, an",1933 -
Said Afandi al-Chirkawi,Russian spiritual leader and scholar,75,Hank Nelson,Australian historian and academic,75,Carl Brewer,Canadian ice hockey player,63
Frances FitzGerald,American journalist an,1940 -,Rhoda Gemignani,America,1940 -,Manfred Mann,"South African-English keyboard player and producer (Manfred Mann, Manfred Mann's Earth Band, and Manfred Mann Chapte",1940 -
Steve Cropper,"American guitarist, songwriter, producer, and actor (Booker T. & the M.G.'s, The Mar-Keys, and The Blue",1941 -,Elvin Bishop,American singer-songwriter an,1942 -,Allan Grice,Australian race car driver an,1942 -
Judith Sheindlin,American judge and televisio,1942 -,Christopher A. Sims,"American economist and statistician, Nobel Priz",1942 -,John Stevens,"Baron Stevens of Kirkwhelpington, English police officer an",1942 -
Ene Mihkelson,Estonian author an,1944 -,Mandy Rice-Davies,English model and actress,70,Michael Tugendhat,English lawyer an,1944 -
Michael White,Englis,1945 -,Jane Heal,English philosopher an,1946 -,Jim Hill,American football player an,1946 -
Lee Loughnane,American singer-songwriter and trumpet playe,1946 -,Ai,American poet and educator,63,Mary Pipher,American psychologist an,1947 -
Tom Everett,American actor an,1948 -,Allen Henry Vigneron,America,1948 -,Michel Brière,Canadian ice hockey player,22
Benjamin Netanyahu,"Israeli captain and politician, 9th Prime Minister o",1949 -,Ronald McNair,American physicist and astronaut,36,Trevor Chappell,Australian cricketer an,1952 -
Allen Hoey,American poet an,1952 -,Brent Mydland,"German-American keyboard player (Grateful Dead, Bobby and the Midnites, and Silver)",38,Charlotte Caffey,American guitarist and songwriter (The Go-Go's and Th,1953 -
Keith Green,"American singer-songwriter, pianist, and minister",29,Marc Johnson,"American bassist, composer, an",1953 -,Peter Mandelson,"English journalist and politician, Secretary of State for Norther",1953 -
Dick DeVos,America,1955 -,Fred Hersch,American pianist an,1955 -,Rich Mullins,American singer-songwriter (A Ragamuffin Band),42
Mike Tully,American pol,1956 -,Julian Cope,"English singer-songwriter (The Teardrop Explodes, Crucial Three, Black Sheep, Brain Donor, and Quee",1957 -,Wolfgang Ketterle,"German physicist and academic, Nobel Priz",1957 -
Andre Geim,"Russian-English physicist and academic, Nobel Priz",1958 -,George Bell,Dominican basebal,1959 -,Rose McDowall,"Scottish singer-songwriter and guitarist (Strawberry Switchblade, Spell, and Curren",1959 -
Kevin Sheedy,Welsh-Irish footballer an,1959 -,Ken Watanabe,Japanese actor an,1959 -,David Campese,Australian rugby player an,1962 -
Ion Andoni Goikoetxea,Spanish footballer an,1965 -,Horace Hogan,America,1965 -,Hisashi Imai,"Japanese singer-songwriter and guitarist (Buck-Tick, Schaft, an",1965 -
Igor Prins,Estonian footballer an,1966 -,Arne Sandstø,Norwegian footballer an,1966 -,Georgi Dakov,Bulgarian high jumper,29
Gavin Lovegrove,New Zealand javelin thrower and graphi,1967 -,Alexandros Alexandris,Greek footballer an,1968 -,Kerstin Andreae,Germa,1968 -
Salman bin Hamad bin Isa Al Khalifa,Bahrain,1969 -,Michael Hancock,Australian rugb,1969 -,Mo Lewis,American footbal,1969 -
Hal Duncan,Scottish author an,1971 -,Jade Jagger,French-English model and jeweller,1971 -,Damien Martyn,Australia,1971 -
Conor O'Shea,Irish rugby player an,1971 -,Paul Telfer,Scottish footballer an,1971 -,Thomas Ulsrud,Norwegia,1971 -
Matthew Friedberger,American singer-songwriter and guitarist (The Fier,1972 -,Masakazu Morita,Japanese voic,1972 -,Orlando Thomas,American football player,42
Lera Auerbach,Russian-American pianist an,1973 -,Sasha Roiz,Israeli-Canadia,1973 -,Charlie Lowell,American pianist and songwriter (Jars o,1973 -
Toby Hall,American basebal,1975 -,Henrique Hilário,Portugues,1975 -,Henrik Gustavsson,Swedis,1976 -
